,feature,cluster,rsq_ratio,r_square_own,r_square_nc,iv,n_bins
0,totalcharges,0,0.79,0.26,0.05,14.544,16
1,deviceprotection,1,0.0,1.0,0.43,0.506,3
2,streamingmovies,1,0.0,1.0,0.59,0.381,3
3,monthlycharges,1,0.39,0.81,0.51,0.381,3
4,streamingtv,1,0.42,0.78,0.47,0.378,3
5,onlinebackup,1,0.52,0.51,0.05,0.541,3
6,internetservice,1,0.83,0.3,0.15,0.638,3
7,partner,2,0.0,1.0,0.6,0.106,2
8,dependents,2,0.13,0.94,0.57,0.149,2
9,paperlessbilling,2,0.14,0.94,0.57,0.224,2
10,seniorcitizen,2,0.36,0.84,0.54,0.116,2
11,contract,3,0.0,1.0,0.43,1.251,3
12,techsupport,4,0.7,0.39,0.12,0.715,3
13,tenure,5,0.0,1.0,0.14,0.902,13
14,paymentmethod,6,0.28,0.84,0.44,0.487,4
15,onlinesecurity,7,0.0,1.0,0.17,0.71,3
